Gene	S1	S2	S3	S4	S5	S6	S7	S8
ABCC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	1.30428e-09	0.0	0.0	0.0	0.0	0.0486497	0.03376195	3.81896e-10
ABCC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC4	0.0	0.0	0.0	0.0	0.0	0.113884	0.0	0.0919677
ABCC5	0.053892386890000005	0.252071	0.207274	0.23092400000000002	0.18600250000000002	0.18979249999999998	0.0414502	0.17503649999999998
ABCC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1	0.1070835	0.01920515	0.1001435	0.129035	0.11235265	0.0260919	0.04177505	0.162154
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD3	0.189791	0.0	0.319795	0.588922	0.0	0.281379	0.379028	0.786166
ABCD4	0.53381	0.700897	0.530582	0.618174	0.688313	0.976916	0.85613	0.971446
ABCE1	0.0	0.427856	0.880675	0.837129	0.86995	0.695223	0.488302	1.17204
ABCF1	0.0618316	0.0382229	1.42056e-05	0.158384	0.0386861	0.0514064	0.151392	0.249248
ABCF2	0.23154400000000003	0.520055	0.213365	0.736272	0.8990265	0.223001	0.7539625000000001	0.45879400000000004
ABCF2-H2BE1	19.8723	26.8319	20.9654	18.2114	28.3473	21.2658	22.4991	17.4573
ABCF2P1	0.0204493	0.0	0.0	0.0411678	0.0201423	0.0	0.0	0.0
ABCF2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	1.26581	1.1993800000000001	1.184586	1.61138	0.585071	1.2404	1.0025095	0.9837004999999999
ABCG1	0.0	0.0	0.0643707	0.0	0.0	0.0	0.328725	0.0
ABCG2	0.0832369	0.427038	0.0	0.0	0.0	0.177302	0.0	0.01571
ABCG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG8	0.04981135	0.103803	0.0838885	0.0783675	0.070874	0.04549265	0.1760735	0.149815
ABHD1	0.200758	0.258268	0.0	0.213579	0.268352	0.361228	0.378013	0.239487
ABHD10	1.621775	3.6294399999999998	3.7848100000000002	3.54045	2.874385	5.678135	2.7975250000000003	5.950475
ABHD11	0.693821	0.769011	0.512774	1.07843	0.463876	1.06327	0.919339	0.628413
ABHD11-AS1	0.0	0.089761	0.0	0.2056505	0.0	0.0631755	0.0418064	0.0
ABHD12	1.0544060000000002	0.9170585	0.478982	0.7901885	0.7263189999999999	0.451724	0.9584065	0.3176795
ABHD12B	0.01219065	0.0	0.0	0.073174	0.02335725	0.02259425	0.0	0.0171357
ABHD14A	1.45382	1.85763	1.65856	1.48238	1.41748	1.52448	1.40722	1.87454
ABHD14A-ACY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD14B	1.06021	2.15961	3.41933	2.74647	3.18747	3.9547	2.16226	2.01625
ABHD16A	0.0	0.00310573	0.0	0.0136384	0.0	0.0291864	0.0	0.0132063
ABHD16B	2.32425	3.29059	2.25589	4.21855	4.044	5.22471	3.92698	6.52173
ABHD17A	0.937265	0.472062	0.955101	0.585291	1.73481	1.32942	0.966138	1.00497
ABHD17AP1	0.124685	0.324536	0.273009	0.175265	0.0	0.0541602	0.0	0.116626
ABHD17AP3	0.287839	0.0945501	0.325127	0.118401	0.079147	0.0	0.0935917	0.0486301
ABHD17AP4	0.222188	0.0633687	0.424207	0.106604	0.161673	0.275331	0.253869	0.267672
ABHD17AP5	0.0	0.428744	0.0	0.103446	0.207965	0.216621	0.0	0.0546917
ABHD17AP6	0.0864145	0.118701	0.121516	0.268418	0.0	0.201226	0.0	0.354807
ABHD17AP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17B	14.7527	19.1671	18.0942	15.7842	17.2143	19.8667	17.6828	26.8534
ABHD17C	7.2095e-08	0.0	0.0	0.0	0.0	0.0	0.0	9.18135e-11
ABHD18	2.15932	2.929485	2.871665	2.07159	2.58209	2.499315	3.546535	2.5884799999999997
ABHD2	0.234866	0.516894	0.282808	0.639884	0.29792	0.0	0.591347	0.376343
ABHD3	0.677958	1.09761	1.17663	1.4671	1.797	0.910672	1.43641	1.59374
ABHD4	0.435223	0.151737	0.43019850000000004	0.549827	0.2848795	0.41498050000000003	0.2214665	0.545485
ABHD5	0.503872	0.0210096	0.412621	0.462969	0.645821	0.574087	0.428	0.204237
ABHD6	0.4547795	0.0	0.710671	0.6222525	0.5644025	0.32153	0.8355	0.6153665
ABHD8	0.4413995	0.6387525	0.456935	0.255675	0.0	0.3644375	0.306662	0.1539955
ABI1	0.6018245	0.5777905000000001	0.9044464999999999	0.952078	1.0105875	0.618192	0.74471	0.7309765
ABI1P1	0.0	0.0	0.0378186	0.0	0.0	0.0	0.0	0.0
ABI2	0.230624	0.511519	0.329868	0.316593	5.24926e-05	0.133675	2.984e-10	0.993714
ABI3	0.350533	0.0539709	1.93069	0.196472	1.01885	0.0	0.778209	0.0
ABI3BP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABITRAM	0.636695	0.955849	0.699422	2.07812	0.607456	1.50647	1.73517	0.682971
ABITRAMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABL1	5.44817	6.20029	4.57568	10.5411	7.55239	3.44789	7.53577	2.35914
ABL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABLIM1	1.18946	1.38716	1.99135	1.41091	1.23125	0.921003	1.87475	1.21405
ABLIM2	0.0	0.0	0.0	0.0595578	0.0	0.0	0.0	0.0
ABLIM3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO	0.0	0.0	0.0	0.0	0.0	0.0	0.1279435	0.894065618135
ABR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABRACL	1.53387	0.0	0.574655	1.03188	0.217441	1.58051	0.68993	1.40041
ABRAXAS1	1.411625	1.037989	0.999368	1.2795874999999999	1.384495	1.52518	1.206555	1.1133135
ABT1P1	0.0	0.0	0.0	0.0	0.184162	0.0	0.0	0.0
ABTB1	1.2088649999999999	1.6594	1.37287	1.052397	1.014932	2.199985	2.023015	2.9314999999999998
ABTB2	1.35741e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAA1	0.187112	0.3843765	0.196735	0.0	0.10440169999999999	0.495753	0.3089825	0.3188755
ACAA2	0.5776865	1.0616605	1.5414124999999999	1.0341900000000002	1.1227165000000001	2.099805	2.12006	2.626695
ACACA	0.0	0.0	0.0	0.0	8.16406e-10	0.0	0.0	0.0101928
ACACB	0.0638331	0.144293	0.226214	0.310976	0.2626	0.119911	0.155091	0.273165
ACAD10	0.061997	0.0755183	0.178261	0.34418	0.0551952	0.134208	0.199367	0.303331
ACAD11	0.0	0.110908	0.248883	0.179989	0.0	0.50674	0.0	0.0
ACAD8	0.547615	0.3828615	0.7820625	0.2772705	0.524092	0.39217749999999996	0.6571235	0.5698045
ACAD9	0.0	0.2973565	0.0	0.07065684329949999	0.167835	0.5466485	0.2169115	0.100581
ACADL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACADM	0.173213	0.359871	0.277653	0.504708	0.437072	0.637389	0.626047	0.882623
ACADS	1.555488	1.835574	0.92903	1.436615	0.515885	1.16723	0.865015	1.338018
ACADSB	4.20278	6.16454	2.60556	5.17599	4.09055	4.26646	2.40032	3.59353
ACADVL	0.18993549999999998	0.1937555	0.00787355062025	0.12308744999999999	0.031607102	0.186895	0.28765799999999997	0.260721
ACAN	0.0	0.0	0.0	5.95232e-11	8.59675e-10	0.0	0.0	0.0
ACAP1	0.831692	1.09133	1.65327	1.23841	0.951933	0.979675	1.25713	1.11094
ACAP2	1.2325599999999999	1.310049	0.942158	1.3394305	2.300005	1.218383	1.1778415	0.672562
ACAP3	8.03925e-10	0.0	0.0	0.0695401	0.09149735	0.05280785	4.307465e-06	0.0783117
ACAT1	0.384189	0.707873	0.466191	0.727163	0.835205	0.300635	0.507052	0.50848
ACAT2	12.953865	13.06766	17.641640000000002	9.917875	12.131665	11.356435000000001	11.273885	11.8505455
ACBD3	0.904507	0.715763	0.362993	2.40551	0.371016	1.35289	2.0801	1.34689
ACBD4	0.685826	0.727861	0.475955	0.665791	0.236118	0.397648	0.528629	0.932139
ACBD5	0.377601	0.781726	1.86508	0.737073	0.731817	0.672407	0.492083	0.956012
ACBD6	0.0812368	0.123032	0.081373	0.344861	0.234405	0.329126	0.327616	0.241036
ACBD7	0.0	0.0	0.0	0.0	0.124889	0.0	0.0	0.199954
ACCS	0.1074618	0.055444	0.02441425	0.23175800000000002	0.02653185	0.1812925	0.648603	0.475068
ACCSL	0.041938884814999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACD	0.244729	0.392934	1.08985	0.429335	0.193863	0.795419	0.696599	1.06184
ACE	0.04490685	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACE3P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACER2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACER3	0.0	0.0	0.0	0.0	0.0	0.0	0.21984900000000002	0.0863755
ACHE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACIN1	0.0619745	6.707e-06	0.09421055	0.0	0.01938015	0.017473	0.1299515	0.00902715
ACKR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR2	0.0292766	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR3	1.75468	5.39083	0.0	0.0	1.46867	3.8339	2.40458	4.24854
ACKR4	0.0	0.0	0.0	0.0	0.117936	0.0	0.0	0.0
ACKR4P1	0.0	0.0	0.156391	0.0	0.29561	0.0	0.0	0.0
ACLY	0.563334	0.508462	0.258406	0.610447	0.428169	0.201939	0.722812	1.13593
ACMSD	0.0	0.0	0.0	0.0	0.0876462	0.0	0.110935	0.0915204
ACNATP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACO1	5.647413	5.365489999999999	4.527285	5.230183145	5.443840000000001	5.22143	5.093695	6.647875
ACO2	1.2267325	0.3724585	0.99219	1.6241915	0.29549695	0.450793	0.652285	1.9291730500000002
ACOD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT11	0.0337335	0.07673	0.044284	0.08039885	0.19409949999999998	0.026762349999999997	0.01032845	0.113989
ACOT12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT13	8.728565	5.872155	6.9167	4.7681325	6.502315	4.227215	6.444805	2.436115
ACOT2	0.4852355	0.6669835	0.2011745	0.3038395	0.561225	0.500209	0.292765	0.101165
ACOT6	0.0	0.061719	0.0	0.0	0.0	0.0187751	0.0	0.0
ACOT7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT8	1.10837	1.16616	0.393703	0.20562	0.735272	1.07819	0.720249	0.80563
ACOT9	0.811159	0.704158	1.77501	1.32397	1.4528	0.181506	2.44108	0.58245
ACOX1	0.6690780000000001	0.3103625	0.0637575	0.8048394999999999	6.9609265000000005e-06	0.247878	0.0924695	0.3666325
ACOX2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOX3	0.0	0.0377442	0.0	0.0	0.53966	0.0	0.0	0.107869
ACOXL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACP1	1.54919	1.0237205	1.129645	3.083445	1.1715149999999999	2.113755	1.273765	1.914955
ACP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACP5	0.669349	0.139015	0.1973508	2.725295e-05	0.253116	0.039023	0.427917	0.1125078
ACP6	0.749267	1.45498	1.96074	1.65254	1.38494	0.888339	1.18413	2.10884
ACP7	0.0	0.0	0.0	0.0668049	0.0	0.0	0.0	0.0
ACR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACRBP	0.0	0.0	0.1296665	0.0	0.0	0.1611755	0.0672875	0.0
ACRP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACRV1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSBG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSBG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSF2	0.0	0.0	0.0	0.0	0.0218202	0.0	0.0	0.0
ACSF3	0.163154	0.0	0.199495	0.295098	0.0880143	0.0550835	0.363919	0.224602
ACSL1	0.0	0.0	0.0	0.0831665	0.0	0.0	0.0	0.0
ACSL3	0.0	0.0	0.2991005	0.1137945	0.03841782565	0.1518685	0.220469	0.1341785
ACSL4	0.0	0.123925	0.0	0.167458	0.143135	0.0	0.0	0.1028
ACSL5	1.75639	0.442164	0.896606	1.92971	0.477878	1.18567	0.7966	2.24279
ACSL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM1	0.0	0.0	0.0	0.0	0.0	0.0339369	0.0	0.0556201
ACSM2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM3	0.0	0.0	0.1359525	0.094877	0.0	0.0	0.08875795	0.1274805
ACSM4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM5P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM6	0.0	0.0	0.0155095	0.0244514	0.0244862	0.0	0.0175017	0.0
ACSS1	0.1622755	0.17432105	0.4301085	0.1825885	0.0	0.1437405	0.0475568	0.843526
ACSS2	0.0	0.127916	0.0	0.0	0.0	0.0	0.0	0.0
ACSS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0880473
ACTA2	0.846249	1.0317224999999999	0.8431270000000001	0.592332	2.261755	0.3306025	2.203925	0.8014519999999999
ACTB	2.9983899999999997	2.079945	3.9323500000000005	1.424065	1.524495	1.24293	1.83671	1.3683420000000002
ACTBP1	0.0	0.0602339	0.038022	0.0364995	0.0354768	0.0332896	0.0864471	0.0
ACTBP11	0.825322	0.178172	1.38968	0.396353	0.353888	0.558668	0.469307	0.974044
ACTBP12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTBP14	0.513203	0.030935	0.0	0.0	0.0	0.034131	0.0	0.0
ACTBP15	0.51848	0.0868365	1.27491	0.212489	0.558648	0.290081	0.33562	0.684204
ACTBP2	8.59151	2.66688	10.9973	4.35137	6.6348	4.87825	4.77637	7.56336
ACTBP6	0.0366192	0.0	0.116679	0.074757	0.0	0.0	0.0885641	0.248295
ACTBP7	0.0	0.0297527	0.0	0.0	0.0	0.0	0.0	0.0
ACTBP8	0.0718943	0.090841	0.0381868	0.0	0.035644	0.0	0.0	0.0
ACTBP9	0.108936	0.0	0.0	0.0	0.0359993	0.0347302	0.0438762	0.0350472
ACTC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTE1P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1	11.7773	10.4083	10.0189	5.93246	2.65417	3.30213	2.84711	5.41647
ACTG1P1	0.422816	0.355175	1.16085	0.574573	0.139644	1.83409	1.23318	3.8714
ACTG1P10	1.67606	0.964449	1.21645	2.57407	0.426864	2.16591	2.40639	3.03984
ACTG1P11	0.264977	0.0213833	0.0410866	0.108111	0.0	0.0925721	0.0	0.306687
ACTG1P12	0.101804	0.0	0.0721341	0.0	0.067285	0.0315311	0.0	0.0326513
ACTG1P13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1P14	0.319151	0.835022	0.527498	1.48253	0.878775	0.263817	0.513844	1.26495
ACTG1P15	0.226169	0.0	0.440285	0.0769803	0.112125	0.140465	0.228094	0.182175
ACTG1P16	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0
ACTG1P17	0.258526	0.160102	0.0	0.371466	0.177084	0.0826575	0.373449	0.46691
ACTG1P18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1P19	0.0713298	0.0	0.0379018	0.0	0.0353639	0.0	0.0	0.13758
ACTG1P2	0.264977	0.0213833	0.0410866	0.108111	0.0	0.0925721	0.0	0.306687
ACTG1P20	3.12325	6.86051	11.9871	8.99702	2.58191	3.30735	6.44586	5.83793
ACTG1P21	0.0808312	0.0688369	0.0428796	0.0	0.0	0.0	0.0	0.0
ACTG1P22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1P23	0.0	0.0	0.0437022	0.0	0.0	0.0	0.0	0.072008
ACTG1P24	0.0470664	0.081433	0.0	0.0483236	0.0933815	0.573836	0.0574629	0.0918868
ACTG1P25	0.0509275	0.053412	0.1468205	0.1940955	0.1265745	0.162119	0.122771	0.1629195
ACTG1P3	0.0	0.0	0.304528	0.072896	0.071783	0.0	0.0	0.0344575
ACTG1P4	0.0206754	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTG1P9	0.218031	0.196715	0.405382	0.297993	0.326258	0.135694	0.267176	0.314097
ACTG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL11P	0.0	0.0295663	0.0197259	0.0649169	0.0294053	0.00874564	0.0	0.0172138
ACTL6A	0.517584	0.674772	0.584525	0.723987	0.937586	1.46267	0.333971	0.876884
ACTL6B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTN1	0.0	0.07787295	0.0	0.4844435	0.0	0.6062655	0.0438353	0.49489900000000003
ACTN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTN3	0.0	0.0	0.103688	0.0	0.0	0.0	0.0	0.0
ACTN4	3.4165e-06	0.149095	0.107987	0.0	0.16287	0.311459	0.264022	0.0
ACTN4P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTN4P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0566295
ACTP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR10	1.02978	0.632348	0.719943	0.777665	1.0926	0.797789	0.640824	0.755135
ACTR1A	0.839567	1.0936599999999999	0.8280305000000001	0.8579985	0.846762	0.674435	1.339763	0.310152
ACTR1AP1	0.0353129	0.0	0.112617	0.0	0.0	0.0328501	0.0	0.034034
ACTR1B	1.0699763999999998	1.45978	0.6930069999999999	0.95130985	1.044756	1.7825085	1.042085	2.032989
ACTR2	11.628645	24.349870000000003	25.794355	24.148439999999997	24.424675	32.383475000000004	32.8442	45.5886
ACTR3	0.971294	1.46129	1.93321	2.04943	4.31564	4.02282	1.50441	3.58601
ACTR3B	0.46967349999999997	0.757465	1.039082	0.862666	1.93687	1.097346	0.2393495	0.7582800000000001
ACTR3BP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3BP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3BP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3BP4	0.0	0.0	0.0	0.0	0.0312809	0.0585416	0.0	0.0
ACTR3BP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3BP6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3BP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR3C	0.5695175	0.3110855	0.658633	0.379722	0.44543499999999997	0.6664405	0.1880369	0.059658715699999997
ACTR3P2	0.0	0.0	0.0332948	0.0318367	0.0309809	0.0	0.0	0.0
ACTR3P3	0.0	0.0	0.0	0.0	0.0914197	0.0	0.0	0.0449374
ACTR6	0.3365235	0.1952615	0.887543	0.1611355	1.6735349999999998	0.5106865	0.6983495	0.9471959999999999
ACTR6P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR8	2.21708	1.46741	0.931489	0.589938	1.34017	1.67939	2.02232	1.62296
ACTRT1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	0.0	0.0	0.0	0.292515	0.151521	0.0	0.0	0.0
ACVR1B	0.01789035	0.0	0.030768	0.03373545	0.0	0.0444886	0.0573435	0.2620395
ACVR1C	0.0354617	0.0488632	0.0	0.490272	0.0824777	0.485828	0.0	0.560795
ACVR2A	0.12989465	0.1480135	3.992045e-09	0.2668585	0.03437395	0.3299655	0.146373	0.101438
ACVR2B	0.3134535	0.8757267	0.00923215	0.5957508	0.01263557	0.28036679999999997	0.33266090000000004	0.48578835
ACVRL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACY3	0.0	0.0375907	0.0	0.0	0.0	0.0263596	0.0	0.0
ACYP1	0.841992	0.495943	0.450598	0.330332	0.963344	0.653212	0.421481	0.46131
ACYP2	1.112665	1.3309615	1.189085	1.1421145	1.2366994999999998	1.17635	0.6490849999999999	1.1669399999999999
ADA	0.511329	0.32814699999999997	0.43213	0.5286565	0.693815	0.420222	0.614133	0.24218099999999998
